,DATE,COMPANY,LT_DEBT_TO_COM_EQY
667,2010-11-01,aapl us equity,0.0
668,2010-10-31,aapl us equity,0.0
669,2010-10-28,aapl us equity,0.0
670,2010-10-27,aapl us equity,0.0
671,2010-10-26,aapl us equity,0.0
672,2010-10-25,aapl us equity,0.0
673,2010-10-24,aapl us equity,0.0
674,2010-10-21,aapl us equity,0.0
675,2010-10-20,aapl us equity,0.0
676,2010-10-19,aapl us equity,0.0
677,2010-10-18,aapl us equity,0.0
678,2010-10-17,aapl us equity,0.0
679,2010-10-14,aapl us equity,0.0
680,2010-10-13,aapl us equity,0.0
681,2010-10-12,aapl us equity,0.0
682,2010-10-11,aapl us equity,0.0
683,2010-10-10,aapl us equity,0.0
684,2010-10-07,aapl us equity,0.0
685,2010-10-06,aapl us equity,0.0
686,2010-10-05,aapl us equity,0.0
687,2010-10-04,aapl us equity,0.0
688,2010-10-03,aapl us equity,0.0
689,2010-09-30,aapl us equity,0.0
690,2010-09-29,aapl us equity,0.0
